reclat,reclon,
42.92743, -78.88329,
42.92750, -78.88340,
42.92747, -78.88342,
42.92740, -78.88342,
42.92739, -78.88344,
42.92736, -78.88385,
42.92735, -78.88383,
42.92727, -78.88320,
42.92724, -78.88324,
42.92722, -78.88326,
42.92720, -78.88327,
42.92717, -78.88328,
42.92715, -78.88331,
42.92715, -78.88333,
42.92713, -78.88336,
42.92711, -78.88340,
42.92709, -78.88343,
42.92707, -78.88345,
42.92705, -78.88347,
42.92703, -78.88349,
42.92701, -78.88350,
42.92699, -78.88352,
42.92697, -78.88353,
42.92695, -78.88354,
42.92693, -78.88356,
42.92691, -78.88358,
42.92689, -78.88359,
42.92686, -78.88359,
42.92684, -78.88359,
42.92682, -78.88358,
42.92680, -78.88359,
42.92678, -78.88359,
42.92675, -78.88360,
42.92672, -78.88360,
42.92670, -78.88360,
42.92669, -78.88360,
42.92667, -78.88360,
42.92664, -78.88359,
42.92662, -78.88359,
42.92660, -78.88359,
42.92657, -78.88359,
42.92655, -78.88360,
42.92653, -78.88360,
42.92651, -78.88360,
42.92649, -78.88360,
42.92646, -78.88361,
42.92645, -78.88362,
42.92642, -78.88362,
42.92640, -78.88362,
42.92638, -78.88362,
42.92636, -78.88362,
42.92633, -78.88362,
42.92631, -78.88362,
42.92628, -78.88362,
42.92626, -78.88363,
42.92624, -78.88362,
42.92622, -78.88361,
42.92619, -78.88361,
42.92618, -78.88361,
42.92615, -78.88362,
42.92613, -78.88363,
42.92610, -78.88363,
42.92607, -78.88362,
42.92606, -78.88361,
42.92603, -78.88360,
42.92600, -78.88361,
42.92599, -78.88362,
42.92596, -78.88364,
42.92594, -78.88366,
42.92592, -78.88366,
42.92590, -78.88366,
42.92589, -78.88363,
42.92590, -78.88360,
42.92591, -78.88357,
42.92593, -78.88355,
42.92594, -78.88357,
42.92595, -78.88361,
42.92595, -78.88363,
42.92593, -78.88365,
42.92591, -78.88367,
42.92590, -78.88369,
42.92590, -78.88372,
42.92589, -78.88376,
42.92588, -78.88379,
42.92588, -78.88382,
42.92589, -78.88386,
42.92590, -78.88389,
42.92590, -78.88393,
42.92590, -78.88396,
42.92590, -78.88400,
42.92591, -78.88403,
42.92591, -78.88407,
42.92591, -78.88411,
42.92591, -78.88414,
42.92590, -78.88417,
42.92590, -78.88420,
42.92590, -78.88423,
42.92589, -78.88426,
42.92589, -78.88431,
42.92589, -78.88434,
42.92588, -78.88437,
42.92588, -78.88440,
42.92587, -78.88443,
42.92587, -78.88446,
42.92587, -78.88450,
42.92587, -78.88453,
42.92587, -78.88457,
42.92588, -78.88461,
42.92588, -78.88464,
42.92589, -78.88468,
42.92590, -78.88471,
42.92591, -78.88475,
42.92592, -78.88478,
42.92592, -78.88481,
42.92594, -78.88483,
42.92595, -78.88486,
42.92595, -78.88489,
42.92594, -78.88492,
42.92592, -78.88494,
42.92589, -78.88492,
42.92589, -78.88489,
42.92589, -78.88486,
42.92589, -78.88483,
42.92591, -78.88484,
42.92592, -78.88486,
42.92594, -78.88485,
42.92592, -78.88484,
42.92591, -78.88480,
42.92590, -78.88478,
42.92587, -78.88479,
42.92584, -78.88481,
42.92583, -78.88483,
42.92580, -78.88482,
42.92577, -78.88483,
42.92575, -78.88484,
42.92572, -78.88484,
42.92569, -78.88485,
42.92567, -78.88485,
42.92564, -78.88485,
42.92561, -78.88485,
42.92558, -78.88485,
42.92556, -78.88483,
42.92554, -78.88481,
42.92551, -78.88478,
42.92547, -78.88477,
42.92544, -78.88476,
42.92541, -78.88475,
42.92538, -78.88475,
42.92536, -78.88474,
42.92534, -78.88473,
42.92531, -78.88472,
42.92528, -78.88472,
42.92526, -78.88472,
42.92523, -78.88472,
42.92520, -78.88472,
42.92517, -78.88472,
42.92514, -78.88472,
42.92512, -78.88473,
42.92509, -78.88473,
42.92507, -78.88474,
42.92504, -78.88475,
42.92501, -78.88475,
