reclat,reclon,
42.97324, -78.83163,
42.97324, -78.83167,
42.97325, -78.83170,
42.97326, -78.83173,
42.97327, -78.83172,
42.97329, -78.83173,
42.97332, -78.83174,
42.97334, -78.83173,
42.97336, -78.83174,
42.97339, -78.83175,
42.97340, -78.83178,
42.97342, -78.83185,
42.97344, -78.83191,
42.97345, -78.83192,
42.97344, -78.83197,
42.97342, -78.83198,
42.97341, -78.83201,
42.97338, -78.83203,
42.97336, -78.83204,
42.97335, -78.83207,
42.97334, -78.83211,
42.97333, -78.83213,
42.97332, -78.83216,
42.97334, -78.83218,
42.97337, -78.83222,
42.97340, -78.83222,
42.97342, -78.83222,
42.97345, -78.83222,
42.97348, -78.83222,
42.97350, -78.83222,
42.97352, -78.83222,
42.97355, -78.83223,
42.97358, -78.83223,
42.97361, -78.83223,
42.97363, -78.83223,
42.97366, -78.83222,
42.97369, -78.83221,
42.97371, -78.83223,
42.97374, -78.83223,
42.97376, -78.83222,
42.97378, -78.83221,
42.97380, -78.83223,
42.97382, -78.83222,
42.97384, -78.83222,
42.97387, -78.83222,
42.97390, -78.83221,
42.97393, -78.83227,
42.97396, -78.83227,
42.97398, -78.83227,
42.97401, -78.83227,
42.97403, -78.83226,
42.97405, -78.83226,
42.97407, -78.83225,
42.97410, -78.83223,
42.97413, -78.83223,
42.97415, -78.83223,
42.97417, -78.83222,
42.97420, -78.83221,
42.97421, -78.83224,
42.97421, -78.83227,
42.97423, -78.83231,
42.97425, -78.83233,
42.97425, -78.83231,
42.97424, -78.83227,
42.97423, -78.83229,
42.97425, -78.83231,
42.97426, -78.83229,
42.97427, -78.83230,
42.97430, -78.83233,
42.97432, -78.83236,
42.97436, -78.83239,
42.97438, -78.83240,
42.97439, -78.83242,
42.97441, -78.83245,
42.97442, -78.83247,
42.97443, -78.83250,
42.97445, -78.83252,
42.97448, -78.83251,
42.97446, -78.83250,
42.97448, -78.83254,
42.97449, -78.83259,
42.97448, -78.83263,
42.97447, -78.83265,
42.97445, -78.83265,
42.97444, -78.83268,
42.97445, -78.83270,
42.97445, -78.83273,
42.97445, -78.83276,
42.97445, -78.83280,
42.97446, -78.83284,
42.97447, -78.83287,
42.97446, -78.83289,
42.97447, -78.83293,
42.97447, -78.83296,
42.97448, -78.83298,
42.97449, -78.83303,
42.97449, -78.83307,
42.97449, -78.83309,
42.97448, -78.83312,
42.97447, -78.83316,
42.97448, -78.83320,
42.97449, -78.83324,
42.97449, -78.83328,
42.97449, -78.83332,
42.97450, -78.83334,
