reclat,reclon,
42.90889, -78.87055,
42.90889, -78.87070,
42.90885, -78.87071,
42.90875, -78.87063,
42.90887, -78.87059,
42.90889, -78.87058,
42.90886, -78.87051,
42.90879, -78.87050,
42.90883, -78.87066,
42.90884, -78.87071,
42.90889, -78.87062,
42.90886, -78.87067,
42.90878, -78.87069,
42.90877, -78.87067,
42.90887, -78.87060,
42.90889, -78.87061,
42.90895, -78.87066,
42.90896, -78.87061,
42.90893, -78.87058,
42.90895, -78.87060,
42.90896, -78.87074,
42.90896, -78.87077,
42.90890, -78.87065,
42.90889, -78.87062,
42.90892, -78.87070,
42.90889, -78.87062,
42.90893, -78.87066,
42.90893, -78.87076,
42.90894, -78.87065,
42.90893, -78.87063,
42.90894, -78.87061,
42.90894, -78.87058,
42.90895, -78.87052,
42.90896, -78.87069,
42.90896, -78.87072,
42.90898, -78.87073,
42.90898, -78.87071,
42.90900, -78.87070,
42.90898, -78.87068,
42.90898, -78.87071,
42.90899, -78.87073,
42.90900, -78.87077,
42.90900, -78.87080,
42.90900, -78.87076,
42.90900, -78.87073,
42.90902, -78.87071,
42.90904, -78.87069,
42.90905, -78.87065,
42.90905, -78.87064,
42.90906, -78.87063,
42.90905, -78.87060,
42.90904, -78.87064,
42.90905, -78.87067,
42.90904, -78.87069,
42.90905, -78.87071,
42.90906, -78.87076,
42.90903, -78.87079,
42.90900, -78.87083,
42.90896, -78.87087,
42.90895, -78.87089,
42.90893, -78.87092,
42.90892, -78.87095,
42.90890, -78.87098,
42.90887, -78.87098,
42.90885, -78.87098,
42.90882, -78.87098,
42.90880, -78.87096,
42.90878, -78.87096,
42.90875, -78.87096,
42.90872, -78.87095,
42.90869, -78.87097,
42.90865, -78.87097,
42.90863, -78.87096,
42.90861, -78.87097,
42.90858, -78.87098,
42.90856, -78.87099,
42.90854, -78.87100,
42.90852, -78.87101,
42.90849, -78.87101,
42.90846, -78.87100,
42.90843, -78.87101,
42.90841, -78.87101,
42.90838, -78.87103,
42.90836, -78.87106,
42.90833, -78.87106,
42.90830, -78.87107,
42.90827, -78.87107,
42.90825, -78.87108,
42.90823, -78.87109,
42.90820, -78.87111,
42.90816, -78.87113,
42.90813, -78.87113,
42.90811, -78.87114,
42.90808, -78.87115,
42.90806, -78.87115,
42.90804, -78.87116,
42.90802, -78.87117,
42.90799, -78.87117,
42.90797, -78.87117,
42.90795, -78.87118,
42.90792, -78.87118,
42.90790, -78.87118,
42.90787, -78.87119,
42.90785, -78.87119,
42.90783, -78.87119,
42.90780, -78.87120,
42.90779, -78.87121,
42.90777, -78.87121,
42.90775, -78.87122,
42.90772, -78.87123,
42.90769, -78.87124,
42.90766, -78.87124,
42.90763, -78.87125,
42.90762, -78.87126,
42.90760, -78.87126,
42.90757, -78.87127,
42.90757, -78.87130,
42.90755, -78.87131,
42.90752, -78.87132,
42.90749, -78.87133,
42.90747, -78.87133,
42.90743, -78.87130,
42.90741, -78.87131,
42.90738, -78.87130,
42.90736, -78.87131,
42.90733, -78.87133,
42.90730, -78.87134,
42.90726, -78.87135,
42.90724, -78.87137,
42.90722, -78.87138,
42.90720, -78.87140,
42.90717, -78.87141,
42.90714, -78.87143,
42.90711, -78.87143,
42.90709, -78.87144,
42.90707, -78.87147,
42.90705, -78.87148,
42.90703, -78.87149,
42.90700, -78.87149,
42.90698, -78.87150,
42.90695, -78.87150,
42.90693, -78.87150,
42.90690, -78.87151,
42.90688, -78.87152,
42.90685, -78.87153,
42.90683, -78.87153,
42.90682, -78.87150,
42.90682, -78.87146,
42.90681, -78.87143,
42.90682, -78.87140,
42.90684, -78.87141,
42.90682, -78.87144,
42.90679, -78.87144,
42.90679, -78.87146,
42.90680, -78.87149,
42.90682, -78.87145,
42.90682, -78.87142,
42.90682, -78.87140,
42.90682, -78.87137,
42.90684, -78.87133,
42.90684, -78.87131,
42.90684, -78.87127,
42.90683, -78.87124,
42.90684, -78.87120,
42.90684, -78.87116,
42.90685, -78.87113,
42.90685, -78.87110,
42.90683, -78.87107,
42.90683, -78.87103,
42.90681, -78.87099,
42.90682, -78.87096,
42.90681, -78.87093,
42.90681, -78.87090,
42.90681, -78.87087,
42.90682, -78.87085,
42.90682, -78.87082,
42.90682, -78.87078,
42.90683, -78.87075,
42.90684, -78.87071,
42.90684, -78.87067,
42.90685, -78.87064,
42.90686, -78.87062,
42.90685, -78.87059,
42.90686, -78.87056,
42.90687, -78.87052,
42.90688, -78.87048,
42.90688, -78.87045,
42.90687, -78.87042,
42.90685, -78.87041,
42.90684, -78.87038,
42.90681, -78.87035,
42.90683, -78.87037,
42.90684, -78.87040,
42.90682, -78.87038,
42.90680, -78.87040,
42.90680, -78.87036,
42.90680, -78.87034,
42.90680, -78.87031,
42.90680, -78.87027,
42.90684, -78.87026,
42.90679, -78.87024,
42.90681, -78.87021,
42.90680, -78.87016,
42.90679, -78.87013,
42.90679, -78.87010,
42.90678, -78.87005,
42.90677, -78.87001,
42.90678, -78.86999,
42.90677, -78.86995,
42.90677, -78.86992,
42.90679, -78.86987,
42.90678, -78.86983,
42.90679, -78.86980,
42.90679, -78.86976,
42.90680, -78.86972,
42.90678, -78.86970,
42.90675, -78.86970,
42.90673, -78.86973,
42.90671, -78.86976,
42.90669, -78.86976,
42.90666, -78.86977,
42.90663, -78.86978,
42.90661, -78.86978,
42.90659, -78.86979,
42.90657, -78.86980,
42.90655, -78.86981,
42.90653, -78.86982,
42.90651, -78.86984,
42.90648, -78.86986,
42.90645, -78.86986,
42.90641, -78.86985,
